"","model","alg","pilot","metric","version","variable","value"
"1","hake","RWM",TRUE,"mle","original","Rhat",1.00120819089839
"2","hake","RWM",TRUE,"mle","original","Rhat",1.00131290963093
"3","hake","RWM",TRUE,"mle","original","Rhat",1.00026116716556
"4","hake","RWM",TRUE,"mle","original","Rhat",0.999740422976327
"5","hake","RWM",TRUE,"mle","original","Rhat",0.999840685771217
"6","hake","RWM",TRUE,"mle","original","Rhat",1.00031161748216
"7","hake","RWM",TRUE,"mle","original","Rhat",1.00010355294718
"8","hake","RWM",TRUE,"mle","original","Rhat",0.999902340714449
"9","hake","RWM",TRUE,"mle","original","Rhat",0.999867364168418
"10","hake","RWM",TRUE,"mle","original","Rhat",0.999907759329788
"11","hake","RWM",TRUE,"mle","original","Rhat",0.999910451438926
"12","hake","RWM",TRUE,"mle","original","Rhat",1.00013578384967
"13","hake","RWM",TRUE,"mle","original","Rhat",1.00046015129598
"14","hake","RWM",TRUE,"mle","original","Rhat",0.999931457844073
"15","hake","RWM",TRUE,"mle","original","Rhat",1.0003365464274
"16","hake","RWM",TRUE,"mle","original","Rhat",1.00002675528947
"17","hake","RWM",TRUE,"mle","original","Rhat",0.99982738380714
"18","hake","RWM",TRUE,"mle","original","Rhat",1.0000700650776
"19","hake","RWM",TRUE,"mle","original","Rhat",1.0001644456964
"20","hake","RWM",TRUE,"mle","original","Rhat",1.00011514349458
"21","hake","RWM",TRUE,"mle","original","Rhat",1.00025453472488
"22","hake","RWM",TRUE,"mle","original","Rhat",1.00020180322002
"23","hake","RWM",TRUE,"mle","original","Rhat",1.00038836802038
"24","hake","RWM",TRUE,"mle","original","Rhat",0.999950248502858
"25","hake","RWM",TRUE,"mle","original","Rhat",1.00208788825343
"26","hake","RWM",TRUE,"mle","original","Rhat",1.00158794521468
"27","hake","RWM",TRUE,"mle","original","Rhat",1.00042239590142
"28","hake","RWM",TRUE,"mle","original","Rhat",1.00012792543625
"29","hake","RWM",TRUE,"mle","original","Rhat",1.00137981895452
"30","hake","RWM",TRUE,"mle","original","Rhat",0.999968347300233
"31","hake","RWM",TRUE,"mle","original","Rhat",1.00001342648531
"32","hake","RWM",TRUE,"mle","original","Rhat",1.00016517731845
"33","hake","RWM",TRUE,"mle","original","Rhat",1.00024280178902
"34","hake","RWM",TRUE,"mle","original","Rhat",0.999847341524083
"35","hake","RWM",TRUE,"mle","original","Rhat",0.999980086311085
"36","hake","RWM",TRUE,"mle","original","Rhat",1.00018257167078
"37","hake","RWM",TRUE,"mle","original","Rhat",1.00016829801479
"38","hake","RWM",TRUE,"mle","original","Rhat",0.999992274869418
"39","hake","RWM",TRUE,"mle","original","Rhat",1.00025876520184
"40","hake","RWM",TRUE,"mle","original","Rhat",0.999942947537839
"41","hake","RWM",TRUE,"mle","original","Rhat",1.00017970802365
"42","hake","RWM",TRUE,"mle","original","Rhat",1.00024418443804
"43","hake","RWM",TRUE,"mle","original","Rhat",1.0000678586825
"44","hake","RWM",TRUE,"mle","original","Rhat",1.00028608661767
"45","hake","RWM",TRUE,"mle","original","Rhat",1.00046693651945
"46","hake","RWM",TRUE,"mle","original","Rhat",1.00082379643549
"47","hake","RWM",TRUE,"mle","original","Rhat",1.00054767462907
"48","hake","RWM",TRUE,"mle","original","Rhat",1.00098632450933
"49","hake","RWM",TRUE,"mle","original","Rhat",1.00049357833767
"50","hake","RWM",TRUE,"mle","original","Rhat",0.999761790849249
"51","hake","RWM",TRUE,"mle","original","Rhat",1.00068666740463
"52","hake","RWM",TRUE,"mle","original","Rhat",1.00037134588751
"53","hake","RWM",TRUE,"mle","original","Rhat",1.00012018715582
"54","hake","RWM",TRUE,"mle","original","Rhat",1.00043687629405
"55","hake","RWM",TRUE,"mle","original","Rhat",1.00056973292326
"56","hake","RWM",TRUE,"mle","original","Rhat",1.0002476764814
"57","hake","RWM",TRUE,"mle","original","Rhat",1.00053930809779
"58","hake","RWM",TRUE,"mle","original","Rhat",1.00136303945636
"59","hake","RWM",TRUE,"mle","original","Rhat",0.999891794521672
"60","hake","RWM",TRUE,"mle","original","Rhat",0.999870037248072
"61","hake","RWM",TRUE,"mle","original","Rhat",1.00044864369216
"62","hake","RWM",TRUE,"mle","original","Rhat",1.00029871935724
"63","hake","RWM",TRUE,"mle","original","Rhat",1.00046290179573
"64","hake","RWM",TRUE,"mle","original","Rhat",1.00028976660144
"65","hake","RWM",TRUE,"mle","original","Rhat",1.00066776783317
"66","hake","RWM",TRUE,"mle","original","Rhat",1.00028864972813
"67","hake","RWM",TRUE,"mle","original","Rhat",1.00018659558405
"68","hake","RWM",TRUE,"mle","original","Rhat",1.00057189916292
"69","hake","RWM",TRUE,"mle","original","Rhat",1.00078868528747
"70","hake","RWM",TRUE,"mle","original","Rhat",0.999960777772201
"71","hake","RWM",TRUE,"mle","original","Rhat",1.00083897407462
"72","hake","RWM",TRUE,"mle","original","Rhat",1.00042060438135
"73","hake","RWM",TRUE,"mle","original","Rhat",1.00011641823668
"74","hake","RWM",TRUE,"mle","original","Rhat",0.999756133928801
"75","hake","RWM",TRUE,"mle","original","Rhat",0.999917228049785
"76","hake","RWM",TRUE,"mle","original","Rhat",0.999671185664599
"77","hake","RWM",TRUE,"mle","original","Rhat",1.00010004962992
"78","hake","RWM",TRUE,"mle","original","Rhat",1.00121399944828
"79","hake","RWM",TRUE,"mle","original","Rhat",0.999976498577971
"80","hake","RWM",TRUE,"mle","original","Rhat",1.00025408013102
"81","hake","RWM",TRUE,"mle","original","Rhat",1.0001354502085
"82","hake","RWM",TRUE,"mle","original","Rhat",1.00016398907429
