"",".id","model","alg","pilot","metric","version","variable","value","version2"
"1","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00520061046255,"NUTS_mle"
"2","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00886336443376,"NUTS_mle"
"3","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00103465574557,"NUTS_mle"
"4","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00011490974978,"NUTS_mle"
"5","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999804517213726,"NUTS_mle"
"6","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00038885729506,"NUTS_mle"
"7","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00025682534336,"NUTS_mle"
"8","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00001387822286,"NUTS_mle"
"9","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999855264079694,"NUTS_mle"
"10","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999931155525807,"NUTS_mle"
"11","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00020391181219,"NUTS_mle"
"12","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999856784791578,"NUTS_mle"
"13","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00018800022993,"NUTS_mle"
"14","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999736823767083,"NUTS_mle"
"15","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00011509842635,"NUTS_mle"
"16","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00009631062913,"NUTS_mle"
"17","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999952000685768,"NUTS_mle"
"18","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00036985341567,"NUTS_mle"
"19","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",0.999830823348309,"NUTS_mle"
"20","fit.nuts.mle","hake","NUTS",FALSE,"mle","original","Rhat",1.00018667876921,"NUTS_mle"
